NW_NO,CAMPAIGN,DATETIME,IMPRESSIONS
702,1,2015-01-17 00:33:09.0000000,212297.791126272
12082,1,2015-01-17 00:44:17.0000000,44725.9180521574
556,1,2015-01-18 20:13:14.0000000,148635.503732313
998,1,2015-01-18 20:00:12.0000000,309.24480059149
4146,1,2015-01-18 20:04:26.0000000,22917.0298506399
14484,1,2015-01-18 20:02:52.0000000,1272.48367877327
16012,1,2015-01-18 20:13:45.0000000,15755.8746359362
16092,1,2015-01-18 20:14:17.0000000,14299.6655430178
17826,1,2015-01-18 20:14:16.0000000,57892.4955002696
702,1,2015-01-18 21:53:14.0000000,216719.369083692
776,1,2015-01-18 21:53:13.0000000,3506.21774081896
792,1,2015-01-18 21:46:31.0000000,31373.8273202273
824,1,2015-01-18 21:53:24.0000000,5661.46925149787
934,1,2015-01-18 21:52:15.0000000,4512.3781394923
1110,1,2015-01-18 21:49:12.0000000,15135.6563257685
4266,1,2015-01-18 21:48:37.0000000,86.376279039018
4270,1,2015-01-18 21:48:37.0000000,0
4318,1,2015-01-18 21:58:50.0000000,554.286805491097
4326,1,2015-01-18 21:58:59.0000000,105.974534126452
10090,1,2015-01-18 21:56:58.0000000,3081.46075855776
10172,1,2015-01-18 21:53:14.0000000,6326.99661999568
14662,1,2015-01-18 21:54:34.0000000,59724.3125829307
15334,1,2015-01-18 21:48:44.0000000,16042.3485283937
15540,1,2015-01-18 21:57:13.0000000,3845.68295564767
16192,1,2015-01-18 21:56:02.0000000,12148.7117285066
2,2,2015-03-16 22:53:12.0000000,186303.163166895
58,2,2015-03-16 22:47:35.0000000,81722.4429592222
970,2,2015-03-16 23:03:41.0000000,30795.7219004192
1096,2,2015-03-16 23:13:03.0000000,114220.629063531
1346,2,2015-03-16 23:11:46.0000000,46218.1505379817
20,2,2015-03-21 16:46:41.0000000,165562.949726571
58,2,2015-03-21 16:48:14.0000000,133786.470814499
80,2,2015-03-21 16:55:25.0000000,80303.9894235665
734,2,2015-03-21 16:53:38.0000000,5564.80732577611
814,2,2015-03-21 16:58:52.0000000,14838.462590798
1300,2,2015-03-21 16:58:54.0000000,36902.0562634347
16140,2,2015-03-21 16:57:08.0000000,11412.7620979318
54,2,2015-03-22 14:38:54.0000000,412016.449795147
80,2,2015-03-22 14:41:42.0000000,165246.06967999
626,2,2015-03-22 14:38:41.0000000,26109.7936377068
754,2,2015-03-22 14:33:57.0000000,201663.042525131
800,2,2015-03-22 14:41:12.0000000,6646.98462581587
1096,2,2015-03-22 14:42:03.0000000,44966.9324037046
1278,2,2015-03-22 14:33:01.0000000,136416.749477646
14662,2,2015-03-22 14:38:09.0000000,60508.1463713516
14876,2,2015-03-22 14:30:28.0000000,31260.6053719929
17826,2,2015-03-22 14:38:28.0000000,32927.0267976714
802,1,2015-01-18 22:09:51.0000000,171725.306894409
1096,1,2015-01-18 22:12:33.0000000,112206.23854318
1116,1,2015-01-18 22:05:58.0000000,4131.13223710383
4146,1,2015-01-18 22:04:46.0000000,12825.0592913688
4152,1,2015-01-18 22:00:35.0000000,60342.1254907814
754,2,2015-03-21 14:01:45.0000000,106451.334833247
13048,2,2015-03-21 14:13:13.0000000,8559.27884155385
16140,2,2015-03-21 14:09:26.0000000,19612.0240764702
702,2,2015-03-22 17:32:31.0000000,190953.011403625
734,2,2015-03-22 17:36:43.0000000,69490.7017903452
1106,2,2015-03-22 17:44:35.0000000,55521.4273726202
4152,2,2015-03-22 17:43:24.0000000,74764.4593428957
14662,2,2015-03-22 17:41:19.0000000,6135.60717141051
16302,2,2015-03-22 17:34:33.0000000,2865.0990329334
18280,2,2015-03-22 17:37:44.0000000,10145.6801515472
696,2,2015-03-23 00:07:57.0000000,6734.22254577941
4146,2,2015-03-23 00:07:56.0000000,14287.2742545639
54,1,2015-01-17 13:25:18.0000000,153064.527762991
58,1,2015-01-17 13:16:16.0000000,288239.83218262
556,1,2015-01-17 13:17:13.0000000,158711.794646532
696,1,2015-01-17 13:29:30.0000000,41198.601997983
762,1,2015-01-17 13:18:56.0000000,120183.364209276
802,1,2015-01-17 13:23:05.0000000,135522.677174165
820,1,2015-01-17 13:23:57.0000000,39718.1200911934
970,1,2015-01-17 13:23:19.0000000,4035.85694912861
1096,1,2015-01-17 13:17:54.0000000,132874.634663609
10426,1,2015-01-17 13:28:11.0000000,15328.3864319364
16164,1,2015-01-17 13:16:17.0000000,50564.9673839775
2,1,2015-01-17 14:22:04.0000000,54000.9013663237
54,1,2015-01-17 14:28:00.0000000,275107.326473402
652,1,2015-01-17 14:17:50.0000000,5729.63192315289
742,1,2015-01-17 14:17:40.0000000,122665.231852867
800,1,2015-01-17 14:26:26.0000000,64390.8071294663
1116,1,2015-01-17 14:22:11.0000000,10825.4029829592
11198,1,2015-01-17 14:17:30.0000000,4388.32873720132
13048,1,2015-01-17 14:22:19.0000000,23667.4850442761
16136,1,2015-01-17 14:16:38.0000000,16675.1473698137
4146,1,2015-01-18 01:39:44.0000000,3582.8279336881
2,2,2015-03-21 01:56:24.0000000,81781.2748464017
556,2,2015-03-21 01:48:06.0000000,3235.31369217919
696,2,2015-03-21 01:54:40.0000000,91896.8094946918
702,2,2015-03-21 01:54:45.0000000,92150.3023713898
1096,2,2015-03-21 01:56:28.0000000,152551.039142632
1110,2,2015-03-21 01:49:23.0000000,5801.22133811061
58,2,2015-03-21 12:45:21.0000000,92485.9562881575
80,2,2015-03-21 12:57:08.0000000,82028.3618926855
556,2,2015-03-21 12:46:45.0000000,56993.3722698565
622,2,2015-03-21 12:49:33.0000000,14775.4912939041
626,2,2015-03-21 12:47:23.0000000,1255.57618739809
702,2,2015-03-21 12:53:47.0000000,16466.730522591
762,2,2015-03-21 12:45:46.0000000,14408.7127742189
814,2,2015-03-21 12:59:07.0000000,11741.0976426588
970,2,2015-03-21 12:46:19.0000000,568.357427505943
1096,2,2015-03-21 12:48:11.0000000,181031.757240143
1106,2,2015-03-21 12:45:36.0000000,244744.686396818
1110,2,2015-03-21 12:55:02.0000000,30071.6026051653
1300,2,2015-03-21 12:52:41.0000000,49120.161709115
10474,2,2015-03-21 12:53:33.0000000,30174.3817378624
20,1,2015-01-15 16:17:47.0000000,35783.7447209022
652,1,2015-01-15 16:17:54.0000000,6010.28980348738
696,1,2015-01-15 16:23:58.0000000,93239.2326042425
754,1,2015-01-15 16:16:02.0000000,58087.1838773634
762,1,2015-01-15 16:19:10.0000000,1170.26817173244
4146,1,2015-01-15 16:29:14.0000000,6684.67454774523
10426,1,2015-01-15 16:24:10.0000000,16568.0210732054
13048,1,2015-01-15 16:21:44.0000000,5136.46776986144
14662,1,2015-01-15 16:26:27.0000000,18183.2834075965
58,1,2015-01-15 17:45:15.0000000,397984.902223723
556,1,2015-01-15 17:48:01.0000000,26.2265974242364
652,1,2015-01-15 17:47:33.0000000,6551.02507458116
702,1,2015-01-15 17:55:08.0000000,91670.6348474932
756,1,2015-01-15 17:50:00.0000000,8695.90297927423
790,1,2015-01-15 17:51:16.0000000,126159.937316067
792,1,2015-01-15 17:49:10.0000000,110743.181505512
998,1,2015-01-15 17:52:10.0000000,340.627355845937
10426,1,2015-01-15 17:51:45.0000000,8521.73248631727
17558,1,2015-01-15 17:52:38.0000000,12016.0223657992
80,1,2015-01-17 16:06:32.0000000,178275.625722297
758,1,2015-01-17 16:09:56.0000000,127907.60749224
970,1,2015-01-17 16:05:05.0000000,6428.08809075881
1138,1,2015-01-17 16:02:43.0000000,506.624849842221
4144,1,2015-01-17 16:04:59.0000000,11320.5958397852
4152,1,2015-01-17 16:12:24.0000000,15188.1575041721
10172,1,2015-01-17 16:13:27.0000000,8949.56209470963
10922,1,2015-01-17 16:07:45.0000000,3964.77902410542
11162,1,2015-01-17 16:12:08.0000000,358.489942910844
15334,1,2015-01-17 16:10:19.0000000,861.703791300163
16092,1,2015-01-17 16:13:01.0000000,24943.7422358053
17826,1,2015-01-17 16:12:44.0000000,59335.5840887365
614,1,2015-01-17 17:19:11.0000000,19563.3915177655
652,1,2015-01-17 17:16:58.0000000,32082.405590025
674,1,2015-01-17 17:20:06.0000000,2815.72409244986
696,1,2015-01-17 17:29:29.0000000,32615.3162189132
742,1,2015-01-17 17:17:54.0000000,87813.5788354108
758,1,2015-01-17 17:15:43.0000000,39216.5390683834
762,1,2015-01-17 17:26:29.0000000,332.434413159468
800,1,2015-01-17 17:23:04.0000000,41663.6691246176
802,1,2015-01-17 17:17:28.0000000,299139.995910164
820,1,2015-01-17 17:18:16.0000000,142782.752616668
1096,1,2015-01-17 17:17:48.0000000,38689.2490261766
1110,1,2015-01-17 17:19:18.0000000,18128.2652032228
4144,1,2015-01-17 17:21:50.0000000,8586.15019005078
10172,1,2015-01-17 17:17:05.0000000,7648.72338614833
11198,1,2015-01-17 17:18:11.0000000,1851.55022263133
11978,1,2015-01-17 17:15:14.0000000,1570.85204984567
16302,1,2015-01-17 17:24:41.0000000,1080.81065682732
674,1,2015-01-17 20:04:03.0000000,93783.5845415404
776,1,2015-01-17 20:07:07.0000000,3564.87758113997
998,1,2015-01-17 20:13:33.0000000,282.288199994847
1138,1,2015-01-17 20:12:08.0000000,9437.03263543641
4310,1,2015-01-17 20:05:39.0000000,2491.02227543761
4318,1,2015-01-17 20:00:31.0000000,4832.93231808717
11978,1,2015-01-17 20:14:37.0000000,24864.6579935284
556,2,2015-03-22 20:14:39.0000000,196241.171723903
614,2,2015-03-22 20:10:43.0000000,975.347469076676
4146,2,2015-03-22 20:10:25.0000000,14670.1250418393
10922,2,2015-03-22 20:04:03.0000000,1745.17676433789
11162,2,2015-03-22 20:10:33.0000000,6989.55036950742
14484,2,2015-03-22 20:14:54.0000000,2023.17071384898
16092,2,2015-03-22 20:08:17.0000000,25877.2409340633
18280,2,2015-03-22 20:10:27.0000000,12273.20824803
756,1,2015-01-15 20:43:18.0000000,122117.760535408
802,1,2015-01-15 20:40:26.0000000,268184.880561749
824,1,2015-01-15 20:38:50.0000000,656.983114763621
4310,1,2015-01-15 20:30:15.0000000,45783.3398633559
11198,1,2015-01-15 20:42:28.0000000,1646.66839814823
16092,1,2015-01-15 20:40:53.0000000,43825.176940926
16192,1,2015-01-15 20:44:25.0000000,109026.955822751
16302,1,2015-01-15 20:32:04.0000000,18.3871265958935
556,1,2015-01-17 12:14:40.0000000,16086.2270838424
652,1,2015-01-17 12:13:26.0000000,47482.04148681
11978,1,2015-01-17 12:14:17.0000000,30516.4421372844
17558,1,2015-01-17 12:08:09.0000000,2246.94338545527
20,1,2015-01-18 18:53:56.0000000,222506.733644366
80,1,2015-01-18 18:55:53.0000000,156640.000779415
556,1,2015-01-18 18:46:00.0000000,106262.293119096
758,1,2015-01-18 18:50:19.0000000,16949.2707957161
776,1,2015-01-18 18:47:33.0000000,2202.62071421492
820,1,2015-01-18 18:57:50.0000000,111093.738628316
934,1,2015-01-18 18:50:07.0000000,2457.94601531604
1106,1,2015-01-18 18:51:26.0000000,550966.199151136
1110,1,2015-01-18 18:46:41.0000000,43745.1407600498
1346,1,2015-01-18 18:48:28.0000000,166473.29443785
15334,1,2015-01-18 18:49:35.0000000,23194.8186684609
15540,1,2015-01-18 18:52:38.0000000,7754.53574019695
16302,1,2015-01-18 18:52:56.0000000,705.233294416793
17558,1,2015-01-18 18:49:00.0000000,2948.06495315771
652,2,2015-03-22 14:46:13.0000000,38872.9367724634
674,2,2015-03-22 14:55:22.0000000,67591.0095066745
790,2,2015-03-22 14:48:13.0000000,150397.453914861
792,2,2015-03-22 14:49:07.0000000,97372.4172330799
802,2,2015-03-22 14:46:40.0000000,125408.309770868
814,2,2015-03-22 14:59:22.0000000,10353.0267014648
1106,2,2015-03-22 14:47:35.0000000,31698.8819486061
16136,2,2015-03-22 14:47:19.0000000,227764.138201393
16192,2,2015-03-22 14:52:14.0000000,13025.0762318005
708,2,2015-03-22 21:28:05.0000000,2488.83483957445
742,2,2015-03-22 21:16:35.0000000,236612.532606038
12232,2,2015-03-22 21:19:01.0000000,142404.777279871
18280,2,2015-03-22 21:22:31.0000000,4104.28975907354
792,1,2015-01-15 00:44:27.0000000,44711.0396021796
802,1,2015-01-15 00:44:59.0000000,157942.543129857
80,1,2015-01-17 18:09:38.0000000,137444.250793571
802,1,2015-01-17 18:13:21.0000000,107976.38078247
10172,1,2015-01-17 18:14:29.0000000,9793.15321650503
13048,1,2015-01-17 18:13:32.0000000,937.321288435404
15334,1,2015-01-17 18:09:36.0000000,4499.12561811466
17558,1,2015-01-17 18:13:18.0000000,3885.42522136375
22,1,2015-01-18 19:43:56.0000000,337784.4113742
54,1,2015-01-18 19:43:11.0000000,256699.357273495
652,1,2015-01-18 19:38:14.0000000,18607.9191667297
702,1,2015-01-18 19:31:35.0000000,237129.916920685
734,1,2015-01-18 19:37:59.0000000,156388.064617216
754,1,2015-01-18 19:31:07.0000000,97536.4734448197
800,1,2015-01-18 19:42:56.0000000,57063.1165128123
824,1,2015-01-18 19:39:08.0000000,3807.24000464531
1116,1,2015-01-18 19:43:02.0000000,1267.69165193089
4266,1,2015-01-18 19:44:20.0000000,17.6231492392827
12082,1,2015-01-18 19:40:20.0000000,21571.2484465429
16092,1,2015-01-18 19:38:53.0000000,16999.6271171792
556,2,2015-03-21 16:06:14.0000000,157208.303593881
4152,2,2015-03-21 16:03:37.0000000,12577.9941499969
10172,2,2015-03-21 16:12:41.0000000,242.545908839696
10922,2,2015-03-21 16:06:31.0000000,1511.29424111512
11162,2,2015-03-21 16:13:20.0000000,42.8500345292734
11198,2,2015-03-21 16:11:06.0000000,5553.15331479216
16092,2,2015-03-21 16:08:10.0000000,6392.65860926484
16136,2,2015-03-21 16:03:36.0000000,274578.741174884
16140,2,2015-03-21 16:09:15.0000000,8049.02366512875
58,2,2015-03-21 17:45:43.0000000,241557.960271446
80,2,2015-03-21 17:49:49.0000000,42991.4295585483
626,2,2015-03-21 17:49:08.0000000,18645.0527107646
674,2,2015-03-21 17:53:58.0000000,50938.9371839673
702,2,2015-03-21 17:51:35.0000000,95493.9469282487
756,2,2015-03-21 17:49:47.0000000,36433.8456692145
790,2,2015-03-21 17:50:31.0000000,214337.574879426
792,2,2015-03-21 17:52:58.0000000,85411.7862705848
814,2,2015-03-21 17:58:52.0000000,17285.1120355051
1106,2,2015-03-21 17:50:51.0000000,77829.1038757512
4146,2,2015-03-21 17:47:47.0000000,12360.9078177115
4152,2,2015-03-21 17:54:05.0000000,9677.68222878114
14662,2,2015-03-21 17:47:57.0000000,23363.7754164933
15540,2,2015-03-21 17:55:24.0000000,9428.88449749392
16136,2,2015-03-21 17:55:22.0000000,571443.41196445
16192,2,2015-03-21 17:49:30.0000000,14535.7080527631
2,2,2015-03-22 01:53:01.0000000,8020.05485679957
696,2,2015-03-22 01:53:57.0000000,68492.0308585148
702,2,2015-03-22 01:54:53.0000000,108473.482398353
1110,2,2015-03-22 01:46:05.0000000,66120.1358492254
556,2,2015-03-22 17:09:39.0000000,96483.2288587062
762,2,2015-03-22 17:10:13.0000000,113282.865473732
802,2,2015-03-22 17:14:09.0000000,42928.7977644004
1346,2,2015-03-22 17:10:44.0000000,82268.3504327565
10172,2,2015-03-22 17:14:54.0000000,9450.36215320712
16092,2,2015-03-22 17:14:44.0000000,8212.00460903906
16192,2,2015-03-22 17:11:46.0000000,12090.3082305613
10090,1,2015-01-15 19:04:45.0000000,16440.5336672978
16164,1,2015-01-15 19:01:05.0000000,19199.3709619573
17826,1,2015-01-15 19:11:21.0000000,41682.9948160998
2,1,2015-01-18 14:56:32.0000000,168145.403813347
80,1,2015-01-18 14:51:02.0000000,4420.53331468279
626,1,2015-01-18 14:51:14.0000000,7711.24721280357
